feature,label_horizon,metric,value,samples
PriceAboveEMA20,future_return_12,q_top_pf,0.329441,268
PriceAboveEMA20,future_return_12,q_top_wr,0.376866,268
PriceAboveEMA20,future_return_12,q_bottom_pf,0.606811,268
PriceAboveEMA20,future_return_12,q_bottom_wr,0.477612,268
PriceAboveEMA20,future_return_12,rolling_mean_50,-0.286028,0
PriceAboveEMA20,future_return_12,rolling_std_50,0.248870,0
PriceAboveEMA20,future_return_12,rolling_stability_50,0.852239,0
PriceAboveEMA20,future_return_12,rolling_mean_100,-0.186835,0
PriceAboveEMA20,future_return_12,rolling_std_100,0.211102,0
PriceAboveEMA20,future_return_12,rolling_stability_100,0.798881,0
PriceAboveEMA20,future_return_12,rolling_mean_200,-0.140316,0
PriceAboveEMA20,future_return_12,rolling_std_200,0.194760,0
PriceAboveEMA20,future_return_12,rolling_stability_200,0.761940,0
PriceAboveEMA20,future_return_12,regime_trending_low_vol,0.019402,480
PriceAboveEMA20,future_return_12,regime_trending_high_vol,0.003205,324
PriceAboveEMA20,future_return_12,regime_ranging_high_vol,-0.092766,480
PriceAboveEMA20,future_return_12,regime_ranging_low_vol,-0.084404,1396
PriceAboveEMA20,future_return_24,pearson,0.033159,2680
PriceAboveEMA20,future_return_24,spearman,0.007268,2680
PriceAboveEMA20,future_return_24,q_top_pf,0.354779,268
PriceAboveEMA20,future_return_24,q_top_wr,0.365672,268
PriceAboveEMA20,future_return_24,q_bottom_pf,0.503830,268
PriceAboveEMA20,future_return_24,q_bottom_wr,0.436567,268
PriceAboveEMA20,future_return_24,rolling_mean_50,-0.306323,0
PriceAboveEMA20,future_return_24,rolling_std_50,0.287871,0
PriceAboveEMA20,future_return_24,rolling_stability_50,0.846642,0
PriceAboveEMA20,future_return_24,rolling_mean_100,-0.199299,0
PriceAboveEMA20,future_return_24,rolling_std_100,0.266278,0
PriceAboveEMA20,future_return_24,rolling_stability_100,0.747015,0
PriceAboveEMA20,future_return_24,rolling_mean_200,-0.127946,0
PriceAboveEMA20,future_return_24,rolling_std_200,0.232904,0
PriceAboveEMA20,future_return_24,rolling_stability_200,0.667164,0
PriceAboveEMA20,future_return_24,regime_trending_low_vol,0.162561,480
PriceAboveEMA20,future_return_24,regime_trending_high_vol,0.010850,324
PriceAboveEMA20,future_return_24,regime_ranging_high_vol,-0.091917,480
PriceAboveEMA20,future_return_24,regime_ranging_low_vol,-0.024800,1396
PriceAboveEMA20,,decay_peak,0.043744,0
PriceAboveEMA20,,decay_avg,0.034390,0
PriceAboveEMA20,,decay_rate,0.011765,0
PriceAboveEMA20,,decay_persistence,0.020214,0
PriceAboveEMA50,future_return_4,pearson,-0.019634,2680
PriceAboveEMA50,future_return_4,spearman,-0.027763,2680
PriceAboveEMA50,future_return_4,q_top_pf,0.689551,268
PriceAboveEMA50,future_return_4,q_top_wr,0.429104,268
PriceAboveEMA50,future_return_4,q_bottom_pf,1.048484,268
PriceAboveEMA50,future_return_4,q_bottom_wr,0.518657,268
PriceAboveEMA50,future_return_4,rolling_mean_50,-0.173368,0
PriceAboveEMA50,future_return_4,rolling_std_50,0.201327,0
PriceAboveEMA50,future_return_4,rolling_stability_50,0.680224,0
PriceAboveEMA50,future_return_4,rolling_mean_100,-0.134827,0
PriceAboveEMA50,future_return_4,rolling_std_100,0.183721,0
